Thread ID: 15070140
Fiber ID: 68236160
Total: 6503.513376
Sort by: self_time

 %self      total      self      wait     child     calls  name
  2.63    178.675   171.100     0.000     7.575  2028405   Mysql2::Client#query 
  2.10    549.313   136.276     0.000   413.037 14170908  *Array#map 
  1.62    455.288   105.310     0.000   349.978 49576776  *Class#new 
  1.58    145.892   102.650     0.000    43.242  6000402   <Class::Time>#utc 
  1.47    174.511    95.876     0.000    78.635 35425518   ActiveSupport::PerThreadRegistry#instance 
  1.42    143.968    92.232     0.000    51.736 34478683   ThreadSafe::Cache#[] 
  1.15    108.659    74.914     0.000    33.745 22424710   Arel::Visitors::Visitor#dispatch 
  1.13    411.486    73.199     0.000   338.287  4056362   ActiveRecord::Relation::Merger#merge_multi_values 
  1.04    210.300    67.715     0.000   142.586 24567336   ActiveRecord::AttributeMethods::Read#read_attribute 
  0.99    567.753    64.171     0.000   503.581  2028402   ActiveRecord::QueryMethods#build_arel 
  0.92    207.449    59.626     0.000   147.823  2028405   Mysql2::Result#each 
  0.91    146.070    58.956     0.000    87.114 17081095  *Hash#fetch 
  0.90     58.356    58.356     0.000     0.000 87453138   Kernel#class 
  0.88    137.696    57.355     0.000    80.340 31718082  *Kernel#dup 
  0.86     56.106    56.106     0.000     0.000 37453920   Thread#[] 
  0.82    465.211    53.122     0.000   412.089  4056807  *ActiveRecord::LogSubscriber#sql 
  0.80     51.736    51.736     0.000     0.000 34478683   ThreadSafe::NonConcurrentCacheBackend#[] 
  0.79    233.432    51.075     0.000   182.357  3000201   ActiveRecord::Core#init_with 
  0.76    109.861    49.605     0.000    60.256  8056434   Array#include? 
  0.76     49.264    49.264     0.000     0.000 10142019   <Class::ActiveRecord::Base>#logger 
  0.73     47.391    47.391     0.000     0.000 54732314   Module#=== 
  0.70    238.639    45.245     0.000   193.394 22974646   ActiveRecord::AttributeMethods#[] 
  0.65     80.340    42.535     0.000    37.805 31718089  *Kernel#initialize_dup 
  0.65     42.254    42.254     0.000     0.000 53134191   Kernel#hash 
  0.65    116.212    42.033     0.000    74.179 12000804  *ActiveSupport::Callbacks#run_callbacks 
  0.64     53.579    41.654     0.000    11.926  3000201   ActiveRecord::Core#init_internals 
  0.60    374.651    39.020     0.000   335.631 10140616   ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection 
  0.59    512.949    38.696     0.000   474.253  2028402   Arel::Visitors::ToSql#visit_Arel_Nodes_SelectCore 
  0.58   3506.454    37.973     0.000  3468.481  2028402   ActiveRecord::Relation#exec_queries 
  0.58    118.739    37.527     0.000    81.212  6302955   ActiveRecord::Relation#initialize_copy 
  0.57     37.332    37.332     0.000     0.000 59790747   NilClass#nil? 
  0.57    141.904    37.151     0.000   104.753  5047792   ActiveRecord::Associations#association 
