"Subject","Start Date","Start Time","End Date","End Time","All day event","Location","Description"
"14th Sunday after Trinity","2013-9-1","","","","True","",""
"New boarders return","2013-9-1","9:00:00 AM","","10:00:00 AM","False","",""
"Rest of boarders return","2013-9-2","","","","True","",""
"Staff INSET","2013-9-2","9:00:00 AM","","9:00:00 AM","False","",""
"1st Year Induction","2013-9-2","9:00:00 AM","","9:00:00 AM","False","",""
"BBC Prom Lunchtime Concert, Cadogan Hall (A level musicians)","2013-9-2","1:00:00 PM","","1:00:00 PM","False","","ETD 10.30am"
"Head's reception for 1st Year parents, Lacies Court Garden","2013-9-2","3:45:00 PM","","3:45:00 PM","False","",""
"WEEK A","2013-9-3","","","","True","",""
"Duty Masters: Mr Hughes and Dr Dudin","2013-9-3","","","","True","",""
"Term begins (1st day back for Lower Sixth)","2013-9-3","8:35:00 AM","","8:35:00 AM","False","",""
"Service in St Helen's Church","2013-9-3","10:00:00 AM","","10:00:00 AM","False","",""
"OPRO Mouthguard fittings (all years)","2013-9-3","1:30:00 PM","","4:30:00 PM","False","","amb"
"Activities Fair","2013-9-3","3:45:00 PM","","3:45:00 PM","False","",""
"WEEK A","2013-9-4","","","","True","",""
"Duty Masters: Ms Byrne and Mrs Fishpool","2013-9-4","","","","True","",""
"Selection of Other Half Options","2013-9-4","9:00:00 AM","","9:00:00 AM","False","",""
" SUS (School Uniform Scheme)","2013-9-4","12:15:00 PM","","1:15:00 PM","False","",""
"Sports practices (kit needed)","2013-9-4","2:30:00 PM","","2:30:00 PM","False","",""
"Senior Show Auditions 1, Amey Theatre","2013-9-4","5:15:00 PM","","7:00:00 PM","False","",""
"BBC Prom Concert (GCSE musicians), Cadogan Hall","2013-9-4","7:30:00 PM","","7:30:00 PM","False","","ETD 4.30pm"
"WEEK A","2013-9-5","","","","True","",""
"Duty Masters: Miss Katic and Mr Litchfield","2013-9-5","","","","True","",""
"OPRO Mouthguard fittings (back up session)","2013-9-5","1:00:00 PM","","3:30:00 PM","False","",""
"Meeting for Upper Sixth Oxbridge candidates, Amey Theatre","2013-9-5","1:00:00 PM","","1:00:00 PM","False","",""
"Senior Show Auditions 2, Amey Theatre","2013-9-5","5:15:00 PM","","7:00:00 PM","False","",""
"WEEK A","2013-9-6","","","","True","",""
"Duty Masters: Mr Lomax and Mrs Mansfield","2013-9-6","","","","True","",""
"Senior Show Auditions 3, Drama Studio","2013-9-6","5:15:00 PM","","7:00:00 PM","False","",""
"Oxbridge: Deadline for submission of essay and reflective log for Summer Research Project","2013-9-6","5:15:00 PM","","5:15:00 PM","False","","BW"
"Scholars' Induction Ceremony, Amey Theatre then Lacies Court Garden(CMR/Sports Centre if wet)","2013-9-6","5:30:00 PM","","8:00:00 PM","False","","5.30-6.00pm Amey Theatre
6.00-7.00pm Lacies Court Garden"
"Boarders' Welcome Dinner","2013-9-6","7:00:00 PM","","9:30:00 PM","False","",""
"Duty Masters: Mr Dawswell and Miss Yarrow","2013-9-7","","","","True","",""
"DoE Bronze canoe planning and kit check","2013-9-7","9:00:00 AM","","11:00:00 AM","False","",""
"DoE Silver walking training","2013-9-7","9:00:00 AM","","11:30:00 AM","False","",""
"DoE Bronze walking training","2013-9-7","9:00:00 AM","","11:00:00 AM","False","",""
"Boarders Activity: Explore Oxford (new boys)","2013-9-7","9:30:00 AM","","1:00:00 PM","False","",""
"SUS (School Uniform Scheme)","2013-9-7","11:00:00 AM","","12:00:00 PM","False","",""
"Rugby v KCS, Wimbledon: 1st, 2nd, 3rd, 4th, 15A, 15B, 15C (H); 16A, 16B, 16C, 14A, 14B, 14C, 14D (A)","2013-9-7","2:30:00 PM","","5:30:00 PM","False","",""
"15th Sunday after Trinity","2013-9-8","","","","True","",""
"Prefects' Training, Ingham Room","2013-9-8","9:30:00 AM","","9:30:00 AM","False","",""
"Boarders' Activity: It's a Knockout","2013-9-8","11:30:00 AM","","4:00:00 PM","False","",""
"WEEK B","2013-9-9","","","","True","",""
"Duty Masters: Dr May and Dr Burnand","2013-9-9","","","","True","",""
"Instrumental Teaching starts","2013-9-9","9:00:00 AM","","9:00:00 AM","False","",""
"Head's Reception for 2nd, 4th and 5th Year parents, Entertainment Suite","2013-9-9","6:00:00 PM","","6:00:00 PM","False","",""
"TVYO 1st rehearsal","2013-9-9","6:15:00 PM","","6:15:00 PM","False","",""
"JCS: First Adult chorus rehearsal, Ingham Room","2013-9-9","7:30:00 PM","","7:30:00 PM","False","",""
"WEEK B","2013-9-10","","","","True","",""
"Duty Masters: Mrs Muller and Mr Middleton","2013-9-10","","","","True","",""
"Boarders' Chapel","2013-9-10","6:00:00 PM","","6:00:00 PM","False","",""
"WEEK B","2013-9-11","","","","True","",""
"Duty Masters: Mr Pritchard and Mr Dawswell","2013-9-11","","","","True","",""
"Head's Assembly","2013-9-11","8:45:00 AM","","9:00:00 AM","False","",""
"WEEK B","2013-9-12","","","","True","",""
"Duty Masters: Mr Brooks and Mrs Penrose","2013-9-12","","","","True","",""
"Oxbridge: Symposium and presentations of Summer Research Project (and  on 13 Sept.)","2013-9-12","4:00:00 PM","","5:00:00 PM","False","",""
"Upper & Lower Sixth Theatre Studies trip to ""Charlie & the Chocolate Factory, Theatre Royal, Drury Lane","2013-9-12","4:00:00 PM","","4:00:00 PM","False","",""
"3rd Year Parents' Social Evening, Amey Theatre/ Houserooms","2013-9-12","7:15:00 PM","","7:15:00 PM","False","",""
"WEEK B","2013-9-13","","","","True","",""
"Duty Masters: Mrs Pradas and Mr Winters","2013-9-13","","","","True","",""
"Internal deadline for pre-Oct.15th UCAS applications","2013-9-13","","","","True","",""
"Oxbridge: Symposium and presentations of Summer Research Project","2013-9-13","4:00:00 PM","","5:00:00 PM","False","",""
"Detention Master: Mr Webb","2013-9-13","5:00:00 PM","","7:00:00 PM","False","",""
"Boarders' Activity: Etiquette Night (3rd Year), Headington School","2013-9-13","7:00:00 PM","","9:30:00 PM","False","",""
"Duty Masters: Mrs Mansfield and Miss Spurling-Holt","2013-9-14","","","","True","",""
"Boarders' Activity: Oxford Open Doors","2013-9-14","9:30:00 AM","","12:00:00 PM","False","",""
"Rugby v Windsor Boys: 16B, 15B, 14B (H)","2013-9-14","10:30:00 AM","","1:00:00 PM","False","",""
"SUS (School Uniform Scheme)","2013-9-14","11:00:00 AM","","12:00:00 PM","False","",""
"Abingdon Heritage Open Day, Chapel and Library","2013-9-14","11:00:00 AM","","1:00:00 PM","False","",""
"Rugby v Shiplake College: 4th (A)","2013-9-14","1:30:00 PM","","3:30:00 PM","False","",""
"Rugby v Berkhamsted: 1st, 2nd, 3rd, 14A, 14C, 14D, 14E (A); 16A, 16C, 16D, 15A, 15C, 15D, 15E (H)","2013-9-14","2:30:00 PM","","5:30:00 PM","False","",""
"16th Sunday after Trinity","2013-9-15","","","","True","",""
"Cross Country: Longworth Village 10k","2013-9-15","9:00:00 AM","","1:00:00 PM","False","",""
"WEEK A","2013-9-16","","","","True","",""
"Duty Masters: Miss Lee and Mrs Yarrow","2013-9-16","","","","True","",""
"Lower Sixth parents 'Meet the Tutors' evening, Big School & CMR","2013-9-16","7:00:00 PM","","7:00:00 PM","False","",""
"Adult Joint School Choir, Ingham Room","2013-9-16","7:30:00 PM","","9:30:00 PM","False","",""
"WEEK A","2013-9-17","","","","True","",""
"Duty Masters: Dr Willis and Mrs Tufnell","2013-9-17","","","","True","",""
"Golf v Radley, ISGA Knockout (First round), Frilford Heath Golf Club","2013-9-17","2:00:00 PM","","2:00:00 PM","False","","SJ"
"Joint Abingdon-St Helen's ""Meet the Chaplains/prayer gathering"", CMR","2013-9-17","7:45:00 PM","","7:45:00 PM","False","",""
"WEEK A","2013-9-18","","","","True","",""
"Duty Masters: Mr J Taylor and Mr R Taylor","2013-9-18","","","","True","",""
"House Assembly","2013-9-18","8:45:00 AM","","9:00:00 AM","False","",""
" SUS (School Uniform Scheme)","2013-9-18","12:15:00 PM","","1:15:00 PM","False","",""
"'American Universities' talk, CMR","2013-9-18","7:00:00 PM","","7:00:00 PM","False","","ANW"
"WEEK A","2013-9-19","","","","True","",""
"Duty Masters: Mrs Waite and Mrs Slatford","2013-9-19","","","","True","",""
"DoE Gold sailing qualifying expedition 1 (until 23rd Sept.- 9pm)","2013-9-19","12:00:00 PM","","12:00:00 PM","False","","LFD"
"Foundation photo","2013-9-19","1:45:00 PM","","1:45:00 PM","False","",""
"Upper and Lower Sixth trip: ""Romeo & Juliet"", Watermill Theatre","2013-9-19","6:15:00 PM","","6:15:00 PM","False","","Depart Abingdon 6.15pm
Show starts at 7.30pm"
"WEEK A","2013-9-20","","","","True","",""
"Duty Masters: Mr Aitken and Mr Hughes","2013-9-20","","","","True","",""
"CCF Field Weekend, Barton Stacey (until 22nd Sept.)","2013-9-20","","","","True","","EAK"
"Drama: Dugald Bruce-Lockhart devising workshop for Upper Sixth, Abingdon Drama Studio","2013-9-20","9:00:00 AM","","1:00:00 PM","False","",""
"Drama: Dugald Bruce-Lockhart devising workshop for Upper Sixth, St Helen's Drama Studio","2013-9-20","10:45:00 AM","","12:30:00 PM","False","",""
"Lunchtime Informal Concert, Amey Theatre Foyer","2013-9-20","1:10:00 PM","","1:10:00 PM","False","",""
"Be the Best launch for Lower School, Amey Theatre","2013-9-20","1:30:00 PM","","4:00:00 PM","False","","AJJ"
